text_a,text_b,labels
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish .",sodium,0
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish .",sauce,1
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish .",fish,0
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish .",rice,1
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish .",things,0
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish .",vinegar,0
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish .",top,0
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish .",scallion,0
the waitstaffs are nice though .,waitstaffs,1
I have been to Roth ' s twice and both times were very disappointing .,Roth,0
I have been to Roth ' s twice and both times were very disappointing .,times,0
"Both times I was extremely dissappointed by the service , which was boarderline rude .",service,1
"Both times I was extremely dissappointed by the service , which was boarderline rude .",boarderline,0
"Both times I was extremely dissappointed by the service , which was boarderline rude .",rude,0
"Both times I was extremely dissappointed by the service , which was boarderline rude .",times,0
They wouldnt even let me finish my glass of wine before offering another .,wine,0
They wouldnt even let me finish my glass of wine before offering another .,glass,0
Much of the time it seems like they do not care about you .,time,0
"The dinner was ok , nothing I would have again .",dinner,1
"I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .",life,0
"I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .",brunch,0
"I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .",eggs,1
"I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .",sauce,0
"I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .",benedict,1
"I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .",hollondaise,0
This was a great surprise .,surprise,0
With the theater 2 blocks away we had a delicious meal in a beautiful room .,blocks,0
With the theater 2 blocks away we had a delicious meal in a beautiful room .,meal,1
With the theater 2 blocks away we had a delicious meal in a beautiful room .,room,1
With the theater 2 blocks away we had a delicious meal in a beautiful room .,theater,0
The service was attentive .,service,1
Planet Thai is great !,Thai,1
Planet Thai is great !,Planet,1
"We love the food , drinks , and atmosphere !",drinks,1
"We love the food , drinks , and atmosphere !",atmosphere,1
"We love the food , drinks , and atmosphere !",food,1
"The svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",group,0
"The svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",times,0
"The svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",must,0
"The svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",bit,0
"The svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",svc,1
"The svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",restaurant,1
"Try the Pad Thai , it ' s fabulous and their prices are so cheap !",Pad,1
"Try the Pad Thai , it ' s fabulous and their prices are so cheap !",prices,0
"Try the Pad Thai , it ' s fabulous and their prices are so cheap !",Thai,1
"Just because it ' s cheap does NOT mean the portions are small or the food is nasty , IT IS GREAT !",food,1
"Just because it ' s cheap does NOT mean the portions are small or the food is nasty , IT IS GREAT !",portions,1
"They forgot a sandwich , didn ' t include plastic forks , and didn ' t include pita with the hummus platter .",pita,0
"They forgot a sandwich , didn ' t include plastic forks , and didn ' t include pita with the hummus platter .",t,0
"They forgot a sandwich , didn ' t include plastic forks , and didn ' t include pita with the hummus platter .",forks,0
"They forgot a sandwich , didn ' t include plastic forks , and didn ' t include pita with the hummus platter .",sandwich,0
"They forgot a sandwich , didn ' t include plastic forks , and didn ' t include pita with the hummus platter .",didn,0
"They forgot a sandwich , didn ' t include plastic forks , and didn ' t include pita with the hummus platter .",plastic,0
"They forgot a sandwich , didn ' t include plastic forks , and didn ' t include pita with the hummus platter .",hummus,0
"They forgot a sandwich , didn ' t include plastic forks , and didn ' t include pita with the hummus platter .",platter,0
"Also , the sandwiches ( nearing $ 7 ) didn ' t come with anything like chips or a side .",chips,0
"Also , the sandwiches ( nearing $ 7 ) didn ' t come with anything like chips or a side .",t,0
"Also , the sandwiches ( nearing $ 7 ) didn ' t come with anything like chips or a side .",sandwiches,1
"Also , the sandwiches ( nearing $ 7 ) didn ' t come with anything like chips or a side .",didn,0
"Also , the sandwiches ( nearing $ 7 ) didn ' t come with anything like chips or a side .",side,0
"Overall , not worth the money .",money,0
"Eating in , the atmosphere saves it , but at your desk , it ' s a very disappointing experience .",experience,0
"Eating in , the atmosphere saves it , but at your desk , it ' s a very disappointing experience .",atmosphere,1
"Eating in , the atmosphere saves it , but at your desk , it ' s a very disappointing experience .",desk,0
Chennai Garden is my favorite Indian restaurant in the city .,city,0
Chennai Garden is my favorite Indian restaurant in the city .,restaurant,0
Chennai Garden is my favorite Indian restaurant in the city .,Garden,1
Chennai Garden is my favorite Indian restaurant in the city .,Chennai,1
They have authentic Indian at amazin prices .,Indian,1
They have authentic Indian at amazin prices .,prices,0
They have authentic Indian at amazin prices .,amazin,0
This restaurant is VEGETARIAN ; there are NO MEAT dishes whatsoever .,dishes,1
This restaurant is VEGETARIAN ; there are NO MEAT dishes whatsoever .,restaurant,0
This restaurant is VEGETARIAN ; there are NO MEAT dishes whatsoever .,VEGETARIAN,0
This restaurant is VEGETARIAN ; there are NO MEAT dishes whatsoever .,MEAT,0
The seats are uncomfortable if you are sitting against the wall on wooden benches .,benches,0
The seats are uncomfortable if you are sitting against the wall on wooden benches .,wall,0
The seats are uncomfortable if you are sitting against the wall on wooden benches .,seats,1
It ' s a rather cramped and busy restaurant and it closes early .,restaurant,1
Patroon features a nice cigar bar and has great staff .,Patroon,0
Patroon features a nice cigar bar and has great staff .,bar,1
Patroon features a nice cigar bar and has great staff .,cigar,1
Patroon features a nice cigar bar and has great staff .,staff,1
The food is tasty and portion sizes are appropriate .,sizes,1
The food is tasty and portion sizes are appropriate .,food,1
The food is tasty and portion sizes are appropriate .,portion,1
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,associates,0
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,place,0
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,business,0
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,dinner,0
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,meeting,0
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,restaurant,1
Not a great place for family or general dining .,family,0
Not a great place for family or general dining .,dining,0
Not a great place for family or general dining .,place,1
LLOOVVE THIS PLACE .,LLOOVVE,0
LLOOVVE THIS PLACE .,PLACE,1
Food is excellent .,Food,1
Fish is so very fresh .,Fish,1
Waitstaff are very friendly .,Waitstaff,1
Love YUKA .,YUKA,1
Love YUKA .,Love,0
Mermaid Inn is an overall good restaurant with really good seafood .,Inn,1
Mermaid Inn is an overall good restaurant with really good seafood .,restaurant,0
Mermaid Inn is an overall good restaurant with really good seafood .,seafood,1
Mermaid Inn is an overall good restaurant with really good seafood .,Mermaid,1
The menu is limited but almost all of the dishes are excellent .,menu,1
The menu is limited but almost all of the dishes are excellent .,dishes,1
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great .,lobster,1
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great .,Scallops,1
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great .,sandwich,1
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great .,Shrimp,1
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great .,spaghetti,1
The service is good and ambience is good for a date or group outing .,group,0
The service is good and ambience is good for a date or group outing .,service,1
The service is good and ambience is good for a date or group outing .,outing,0
The service is good and ambience is good for a date or group outing .,ambience,1
The service is good and ambience is good for a date or group outing .,date,0
The only fallback on this restaurant is the prices .,restaurant,1
The only fallback on this restaurant is the prices .,prices,0
The only fallback on this restaurant is the prices .,fallback,0
"Even though its good seafood , the prices are too high .",prices,0
"Even though its good seafood , the prices are too high .",seafood,1
The lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .,sandwich,1
The lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .,price,0
The lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .,lobster,1
"The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .",food,1
"The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .",service,1
"The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .",halibut,1
"The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .",notch,0
"The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .",steak,1
"The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top - notch .",husband,0
"When my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .",dessert,0
"When my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .",candle,0
"When my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .",waiter,1
"When my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .",occassion,0
"When my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .",birthday,0
"When my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .",gift,0
"When my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .",card,0
"When my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .",sort,0
Truly the mark of an attentive waiter .,waiter,1
Truly the mark of an attentive waiter .,mark,0
I highly recommend the restaurant based on our experience last night .,experience,0
I highly recommend the restaurant based on our experience last night .,restaurant,1
I highly recommend the restaurant based on our experience last night .,night,0
We ate at this Thai place following the reviews but very unhappy with the foods .,place,0
We ate at this Thai place following the reviews but very unhappy with the foods .,Thai,0
We ate at this Thai place following the reviews but very unhappy with the foods .,reviews,0
We ate at this Thai place following the reviews but very unhappy with the foods .,foods,1
We thought that this place is using too much of MSG cooking in the foods .,place,0
We thought that this place is using too much of MSG cooking in the foods .,cooking,0
We thought that this place is using too much of MSG cooking in the foods .,foods,1
We thought that this place is using too much of MSG cooking in the foods .,MSG,0
"They don ' t concern much of customer ' s health , just want to make money .",t,0
"They don ' t concern much of customer ' s health , just want to make money .",customer,0
"They don ' t concern much of customer ' s health , just want to make money .",s,0
"They don ' t concern much of customer ' s health , just want to make money .",money,0
"They don ' t concern much of customer ' s health , just want to make money .",concern,0
"They don ' t concern much of customer ' s health , just want to make money .",health,0
please don ' t fool us .,don,0
please don ' t fool us .,t,0
"I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",soupy,1
"I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",fry,1
"I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",dumplings,1
"I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",fish,1
"I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",crab,1
"I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",chicken,1
"I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",stir,1
The food is so cheap and the waiters are nice .,waiters,1
The food is so cheap and the waiters are nice .,food,1
Authentic Shanghai style and I cannot recommend a better Shanghai place in New York .,place,0
Authentic Shanghai style and I cannot recommend a better Shanghai place in New York .,New,0
Authentic Shanghai style and I cannot recommend a better Shanghai place in New York .,York,0
Authentic Shanghai style and I cannot recommend a better Shanghai place in New York .,Shanghai,0
Authentic Shanghai style and I cannot recommend a better Shanghai place in New York .,style,0
Have frequented ' ino for several years and the food remains excellent .,ino,0
Have frequented ' ino for several years and the food remains excellent .,food,1
Have frequented ' ino for several years and the food remains excellent .,years,0
Cheese plate is a varied delight and great bargain at $ 10 .,bargain,0
Cheese plate is a varied delight and great bargain at $ 10 .,delight,0
Cheese plate is a varied delight and great bargain at $ 10 .,plate,1
"The large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .",tramezzinis,1
"The large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .",selection,0
"The large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .",palate,0
"The large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .",paninis,1
"The large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .",bruschettas,1
"( The asparagus , truffle oil , parmesan bruschetta is a winner ! )",winner,0
"( The asparagus , truffle oil , parmesan bruschetta is a winner ! )",truffle,1
"( The asparagus , truffle oil , parmesan bruschetta is a winner ! )",oil,1
"( The asparagus , truffle oil , parmesan bruschetta is a winner ! )",parmesan,1
"( The asparagus , truffle oil , parmesan bruschetta is a winner ! )",asparagus,1
"( The asparagus , truffle oil , parmesan bruschetta is a winner ! )",bruschetta,1
Wine list is extensive without being over - priced .,list,1
Wine list is extensive without being over - priced .,Wine,1
"Be sure to try the seasonal , and always delicious , specials .",specials,1
"Be sure to try the seasonal , and always delicious , specials .",seasonal,0
Definitely a neighborhood favorite .,neighborhood,0
I loved this place ! !,place,1
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded .,review,0
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded .,atmosphere,1
"The food was very good , a great deal , and the place its self was great .",place,1
"The food was very good , a great deal , and the place its self was great .",food,1
"The food was very good , a great deal , and the place its self was great .",deal,0
"The food was very good , a great deal , and the place its self was great .",self,0
"The wait staff is very freindly , they make it feel like you ' re eating in a freindly little european town .",wait,1
"The wait staff is very freindly , they make it feel like you ' re eating in a freindly little european town .",staff,1
"The wait staff is very freindly , they make it feel like you ' re eating in a freindly little european town .",town,0
"I like Cafe Noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !",jsut,0
"I like Cafe Noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !",Cafe,1
"I like Cafe Noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !",Noir,1
"I like Cafe Noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !",people,1
"The service was terrible , we had to wait for everything and ask several of different people for the same thing before we were allowed to be served .",service,1
"The service was terrible , we had to wait for everything and ask several of different people for the same thing before we were allowed to be served .",thing,0
"The service was terrible , we had to wait for everything and ask several of different people for the same thing before we were allowed to be served .",people,0
"The waitress , seems to be more concerned of looking good than actually waitressing .",waitress,1
"After dinner the manager grabbed my boyfriend , asked him : Where are you from . . . maybe you dont know how things work in America . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .",tips,0
"After dinner the manager grabbed my boyfriend , asked him : Where are you from . . . maybe you dont know how things work in America . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .",thing,0
"After dinner the manager grabbed my boyfriend , asked him : Where are you from . . . maybe you dont know how things work in America . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .",America,0
"After dinner the manager grabbed my boyfriend , asked him : Where are you from . . . maybe you dont know how things work in America . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .",end,0
"After dinner the manager grabbed my boyfriend , asked him : Where are you from . . . maybe you dont know how things work in America . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .",things,0
"After dinner the manager grabbed my boyfriend , asked him : Where are you from . . . maybe you dont know how things work in America . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .",dinner,0
"After dinner the manager grabbed my boyfriend , asked him : Where are you from . . . maybe you dont know how things work in America . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .",manager,1
"After dinner the manager grabbed my boyfriend , asked him : Where are you from . . . maybe you dont know how things work in America . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .",boyfriend,0
"We did tip , I guess the model / waitress just wanted more and complained to the manager .",waitress,1
"We did tip , I guess the model / waitress just wanted more and complained to the manager .",model,0
"We did tip , I guess the model / waitress just wanted more and complained to the manager .",manager,0
"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff , because despite the current one this is a great place .",Cafe,1
"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff , because despite the current one this is a great place .",place,0
"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff , because despite the current one this is a great place .",set,0
"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff , because despite the current one this is a great place .",staff,1
"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff , because despite the current one this is a great place .",Noir,1
"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff , because despite the current one this is a great place .",one,0
Pizza here is consistently good .,Pizza,1
Salads are a delicious way to begin the meal .,way,0
Salads are a delicious way to begin the meal .,Salads,1
Salads are a delicious way to begin the meal .,meal,0
You should pass on the calamari .,calamari,1
Decor is charming .,Decor,1
Service is average .,Service,1
What a great place .,place,1
"The ambience was so fun , and the prices were great , on top of the fact that the food was really tasty .",food,1
"The ambience was so fun , and the prices were great , on top of the fact that the food was really tasty .",fact,0
"The ambience was so fun , and the prices were great , on top of the fact that the food was really tasty .",prices,0
"The ambience was so fun , and the prices were great , on top of the fact that the food was really tasty .",ambience,1
"The ambience was so fun , and the prices were great , on top of the fact that the food was really tasty .",top,0
"I wasn ' t thrilled to have to wait on line for thirty minutes , but I guess that ' s the price you pay for a popular place .",t,0
"I wasn ' t thrilled to have to wait on line for thirty minutes , but I guess that ' s the price you pay for a popular place .",place,0
"I wasn ' t thrilled to have to wait on line for thirty minutes , but I guess that ' s the price you pay for a popular place .",price,0
"I wasn ' t thrilled to have to wait on line for thirty minutes , but I guess that ' s the price you pay for a popular place .",line,0
"I wasn ' t thrilled to have to wait on line for thirty minutes , but I guess that ' s the price you pay for a popular place .",minutes,0
I would definitely recommend SEA if you like thai cuisine !,thai,1
I would definitely recommend SEA if you like thai cuisine !,cuisine,1
I would definitely recommend SEA if you like thai cuisine !,SEA,0
I was here a few weeks back and we had the worst customer service experience at a restaurant ever .,service,1
I was here a few weeks back and we had the worst customer service experience at a restaurant ever .,customer,1
I was here a few weeks back and we had the worst customer service experience at a restaurant ever .,restaurant,0
I was here a few weeks back and we had the worst customer service experience at a restaurant ever .,experience,0
I was here a few weeks back and we had the worst customer service experience at a restaurant ever .,weeks,0
"A gentleman , maybe the manager , came to our table , and without so much as a smile or greeting asked for our order .",table,0
"A gentleman , maybe the manager , came to our table , and without so much as a smile or greeting asked for our order .",gentleman,1
"A gentleman , maybe the manager , came to our table , and without so much as a smile or greeting asked for our order .",smile,0
"A gentleman , maybe the manager , came to our table , and without so much as a smile or greeting asked for our order .",manager,0
"A gentleman , maybe the manager , came to our table , and without so much as a smile or greeting asked for our order .",order,0
"A gentleman , maybe the manager , came to our table , and without so much as a smile or greeting asked for our order .",greeting,0
"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants , he replied this is not Mcdonald ' s , every place makes things differently",comparison,0
"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants , he replied this is not Mcdonald ' s , every place makes things differently",place,0
"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants , he replied this is not Mcdonald ' s , every place makes things differently",dish,0
"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants , he replied this is not Mcdonald ' s , every place makes things differently",things,0
"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants , he replied this is not Mcdonald ' s , every place makes things differently",s,0
"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants , he replied this is not Mcdonald ' s , every place makes things differently",Mcdonald,0
"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants , he replied this is not Mcdonald ' s , every place makes things differently",restaurants,0
"While it is understandable that every place is indeed different , there was not a need to be uncourteous to customers and downright rude .",customers,0
"While it is understandable that every place is indeed different , there was not a need to be uncourteous to customers and downright rude .",place,0
"While it is understandable that every place is indeed different , there was not a need to be uncourteous to customers and downright rude .",need,0
I absolutely Loved this place .,place,1
"Excellent atmosphere , delicious dishes good and friendly service .",dishes,1
"Excellent atmosphere , delicious dishes good and friendly service .",service,1
"Excellent atmosphere , delicious dishes good and friendly service .",atmosphere,1
this is can became on e of the NY Italian Food fare institutions .,fare,0
this is can became on e of the NY Italian Food fare institutions .,Food,0
this is can became on e of the NY Italian Food fare institutions .,institutions,0
this is can became on e of the NY Italian Food fare institutions .,NY,0
this is can became on e of the NY Italian Food fare institutions .,e,0
I think that it is absolutely brilliant and well runned business operation .,business,0
I think that it is absolutely brilliant and well runned business operation .,operation,0
The wine list is also really nice .,wine,1
The wine list is also really nice .,list,1
"Everything was wonderful ; food , drinks , staff , mileau .",drinks,1
"Everything was wonderful ; food , drinks , staff , mileau .",staff,1
"Everything was wonderful ; food , drinks , staff , mileau .",food,1
"Everything was wonderful ; food , drinks , staff , mileau .",mileau,1
I would highly recommend this place !,place,1
I have been to Casimir over 5 times and I have always had a great time there .,Casimir,1
I have been to Casimir over 5 times and I have always had a great time there .,time,0
I have been to Casimir over 5 times and I have always had a great time there .,times,0
The food is great and reasonably priced .,food,1
"I have tried to make reservations , but both times , the hostess didn ' t have my name .",t,1
"I have tried to make reservations , but both times , the hostess didn ' t have my name .",times,0
"I have tried to make reservations , but both times , the hostess didn ' t have my name .",name,0
"I have tried to make reservations , but both times , the hostess didn ' t have my name .",reservations,0
"I have tried to make reservations , but both times , the hostess didn ' t have my name .",didn,0
"I have tried to make reservations , but both times , the hostess didn ' t have my name .",hostess,1
"If the weather is nice , try to snag an outside table .",weather,0
"If the weather is nice , try to snag an outside table .",table,1
"The staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",bathroom,1
"The staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",staff,1
"The staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",unisex,1
My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent .,birthday,0
My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent .,boyfriend,0
My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent .,night,0
"From the spectacular caviar to the hospitable waitstaff , I felt like royalty and enjoyed every second of it .",waitstaff,1
"From the spectacular caviar to the hospitable waitstaff , I felt like royalty and enjoyed every second of it .",second,0
"From the spectacular caviar to the hospitable waitstaff , I felt like royalty and enjoyed every second of it .",caviar,1
"From the spectacular caviar to the hospitable waitstaff , I felt like royalty and enjoyed every second of it .",royalty,0
"Considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .",closing,0
"Considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .",patrons,0
"Considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .",waitstaff,1
"Considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .",time,0
I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service .,grade,0
I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service .,service,1
I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service .,Russe,0
I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service .,Caviar,0
I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service .,caviar,1
Nice Family owned traditional restaurant .,restaurant,1
Nice Family owned traditional restaurant .,Family,0
Nice Family owned traditional restaurant .,Nice,0
Fresh ingredients and everything is made to order .,ingredients,1
I was pleasantly surprised to find this gem in Hoboken .,Hoboken,0
I was pleasantly surprised to find this gem in Hoboken .,gem,0
Friendly staff that actually lets you enjoy your meal and the company you ' re with .,company,0
Friendly staff that actually lets you enjoy your meal and the company you ' re with .,meal,0
Friendly staff that actually lets you enjoy your meal and the company you ' re with .,staff,1
"I found the food to be outstanding , particulary the salmon dish I had .",dish,1
"I found the food to be outstanding , particulary the salmon dish I had .",food,1
"I found the food to be outstanding , particulary the salmon dish I had .",salmon,1
"I also ordered the Change Mojito , which was out of this world .",world,0
"I also ordered the Change Mojito , which was out of this world .",Change,1
"I also ordered the Change Mojito , which was out of this world .",Mojito,1
"My friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good .",dim,1
"My friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good .",day,0
"My friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good .",rice,0
"My friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good .",dishes,0
"My friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good .",friends,0
"My friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good .",sum,1
"We ate out in the back patio , which is worth it as it ' s cool and the music is hear well there .",back,1
"We ate out in the back patio , which is worth it as it ' s cool and the music is hear well there .",music,1
"We ate out in the back patio , which is worth it as it ' s cool and the music is hear well there .",patio,1
"Overall , excellent restaurant !",restaurant,1
The food was good .,food,1
The place was nice and calm .,place,1
but the service was a bit slow .,service,1
but the service was a bit slow .,bit,0
The buffet had a nice selection .,buffet,1
The buffet had a nice selection .,selection,0
The food was average or above including some surprising tasty dishes .,dishes,1
The food was average or above including some surprising tasty dishes .,food,1
Service was also very good .,Service,1
I got an excellent piece of cheesecake and we had several other nice pastries .,cheesecake,1
I got an excellent piece of cheesecake and we had several other nice pastries .,piece,0
I got an excellent piece of cheesecake and we had several other nice pastries .,pastries,1
"I would recommend Roxy ' s for that , but not for their food .",s,0
"I would recommend Roxy ' s for that , but not for their food .",food,1
"I would recommend Roxy ' s for that , but not for their food .",Roxy,0
My son and his girlfriend both wanted cheeseburgers and they were huge !,girlfriend,0
My son and his girlfriend both wanted cheeseburgers and they were huge !,cheeseburgers,1
My son and his girlfriend both wanted cheeseburgers and they were huge !,son,0
"But , they were too big for the bun .",bun,0
"Consequently , their burgers fell apart in their hands and made such a mess that they did ' nt feel like finishing them .",mess,0
"Consequently , their burgers fell apart in their hands and made such a mess that they did ' nt feel like finishing them .",burgers,1
"Consequently , their burgers fell apart in their hands and made such a mess that they did ' nt feel like finishing them .",hands,0
I had a huge pastrami sandwich on a roll .,sandwich,1
I had a huge pastrami sandwich on a roll .,pastrami,1
I had a huge pastrami sandwich on a roll .,roll,1
It was $ 14 not really bad for a pound of Pastrami - but it didn ' t have much taste - I ' ve had better for less elsewhere !,t,0
It was $ 14 not really bad for a pound of Pastrami - but it didn ' t have much taste - I ' ve had better for less elsewhere !,taste,0
It was $ 14 not really bad for a pound of Pastrami - but it didn ' t have much taste - I ' ve had better for less elsewhere !,Pastrami,0
It was $ 14 not really bad for a pound of Pastrami - but it didn ' t have much taste - I ' ve had better for less elsewhere !,didn,0
It was $ 14 not really bad for a pound of Pastrami - but it didn ' t have much taste - I ' ve had better for less elsewhere !,ve,0
It was $ 14 not really bad for a pound of Pastrami - but it didn ' t have much taste - I ' ve had better for less elsewhere !,pound,0
